Bookmaker,Sport,Player Props,Pre-match odds,Live odds,Markets
Bet.bet,Darts,No,Yes,No,"ML, Spread, Totals"
Bet.bet,Esports,No,Yes,Yes,"ML, Spread, Totals"
Bet.bet,Football,No,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Spread, Bookings Totals, Both Teams To Score, Corners Totals Away, Corners Totals Home, Double Chance, European Handicap"
Bet.bet,Handball,No,Yes,Yes,"Spread, Totals, Team Total Home, Team Total Away, 3-Way Result"
Bet.bet,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
Bet.bet,Tennis,No,Yes,Yes,"ML, Spread, Totals, Spread (Games), Totals (Games)"
Bet.bet,Volleyball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Bet365,American Football,Yes,Yes,Yes,All markets on sportsbook
Bet365,Aussie Rules,Yes,Yes,No,All markets on sportsbook
Bet365,Baseball,Yes,Yes,Yes,All markets on sportsbook
Bet365,Basketball,Yes,Yes,Yes,All markets on sportsbook
Bet365,Boxing,Yes,Yes,No,All markets on sportsbook
Bet365,Cricket,Yes,Yes,No,All markets on sportsbook
Bet365,Darts,Yes,Yes,No,All markets on sportsbook
Bet365,Esports,Yes,Yes,Yes,All markets on sportsbook
Bet365,Football,Yes,Yes,Yes,All markets on sportsbook
Bet365,Handball,Yes,Yes,Yes,All markets on sportsbook
Bet365,Ice Hockey,Yes,Yes,Yes,All markets on sportsbook
Bet365,MMA,Yes,Yes,No,All markets on sportsbook
Bet365,Rugby,Yes,Yes,No,All markets on sportsbook
Bet365,Rugby League,Yes,Yes,No,All markets on sportsbook
Bet365,Rugby Union,Yes,Yes,No,All markets on sportsbook
Bet365,Table Tennis,Yes,Yes,Yes,All markets on sportsbook
Bet365,Tennis,Yes,Yes,Yes,All markets on sportsbook
Bet365,Volleyball,Yes,Yes,No,All markets on sportsbook
Bet365 (no latency),Basketball,No,Yes,No,"ML, Spread, Totals"
Bet365 (no latency),Basketball,No,Yes,No,"ML, Spread, Totals"
Bet365 (no latency),Football,No,Yes,No,"ML, Spread, Totals, Goals Over/Under, Bookings Totals"
Bet365 (no latency),Football,No,Yes,No,"ML, Spread, Totals, Goals Over/Under, Bookings Totals"
Bet365 (no latency),Handball,No,Yes,No,ML
Bet7k,American Football,No,Yes,No,"ML, Spread, Totals"
Bet7k,Baseball,No,Yes,Yes,"ML, Spread, Totals"
Bet7k,Basketball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Bet7k,Darts,No,Yes,No,"ML, Spread, Totals"
Bet7k,Esports,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
Bet7k,Football,No,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Spread, Bookings Totals, Bookings Totals Away, Bookings Totals Home, Both Teams To Score, Corners Totals Away, Corners Totals Home, Double Chance, European Handicap"
Bet7k,Handball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away, 3-Way Result"
Bet7k,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
Bet7k,Tennis,No,Yes,Yes,"ML, Spread, Totals, Spread (Games), Totals (Games)"
Bet7k,Volleyball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Bet9ja 🆕,Basketball,No,Yes,No,ML
Bet9ja 🆕,Football,No,Yes,No,ML
Bet9ja 🆕,Handball,No,Yes,No,ML
